x,y
40,38
40,38
40,37
40,37
40,36
40,35
40,34
40,34
40,33
40,32
40,31
40,31
40,30
40,29
40,28
40,28
40,27
40,26
40,25
40,24
40,24
40,23
40,22
40,22
40,22
41,22
41,22
41,20
41,20
40,19
40,18
40,17
40,16
40,14
40,41
41,41
18,42
18,41
18,40
18,39
18,37
17,37
17,37
14,35
14,34
13,33
13,29
13,25
14,21
17,16
20,42
20,41
21,41
22,41
21,41
23,41
24,41
25,41
26,41
27,41
28,41
29,41
30,41
31,41
32,41
33,41
34,41
35,41
36,41
37,41
38,41
39,41
40,41
21,43
22,43
23,43
24,43
25,43
26,43
27,43
28,43
29,43
30,43
31,43
32,43
33,43
34,43
35,43
36,43
37,43
38,43
39,43
40,43
41,43
38,47
38,46
38,45
38,44
35,47
35,46
35,45
34,45
34,46
34,47
33,47
33,46
33,45
32,47
31,47
30,47
29,47
28,47
28,46
28,45
29,45
29,46
30,46
30,45
27,47
26,47
25,47
25,46
25,45
24,45
24,46
23,45
23,46
23,47
22,47
21,45
20,47
17,47
18,43
18,42
17,44
16,45
15,46
15,47
26,34
18,38
21,50
17,49
17,53
20,55
21,54
20,52
23,55
24,55
25,55
25,54
25,53
24,53
23,53
26,55
27,55
28,55
28,54
28,53
29,53
29,54
29,55
30,55
30,54
30,53
31,55
32,55
33,55
33,54
33,53
34,53
34,54
34,55
35,54
35,54
35,53
36,55
36,51
36,50
35,51
34,51
33,51
33,50
33,49
34,49
35,49
32,49
34,49
31,49
30,49
29,49
28,49
28,50
28,51
29,51
30,51
30,50
28,49
26,49
25,49
23,49
24,49
24,50
23,50
23,51
24,51
25,51
25,50
44,44
44,45
44,47
46,47
47,45
49,47
49,48
42,43
43,43
44,43
45,43
46,43
47,43
48,43
49,43
50,43
41,54
44,54
48,53
50,54
48,56
39,55
36,55
35,58
43,56
45,57
48,56
48,58
45,59
46,61
44,62
40,62
40,60
36,61
34,60
30,60
30,58
30,62
33,65
35,66
37,65
26,63
27,62
25,60
24,58
23,60
21,57
18,57
18,60
20,61
21,62
21,64
18,64
18,62
18,65
19,65
20,65
21,65
22,65
21,65
23,65
24,65
25,65
26,65
27,65
28,65
29,65
30,65
31,65
31,66
31,67
30,67
29,67
30,69
32,67
33,67
34,67
35,67
35,68
35,69
35,70
36,70
36,69
36,68
40,67
40,66
40,65
40,64
40,63
42,63
43,63
44,63
44,63
45,63
46,63
47,63
48,63
49,63
50,63
48,67
45,66
45,65
37,68
39,68
40,68
40,68
41,68
42,68
43,68
45,68
46,68
47,68
49,68
50,68
37,70
37,69
37,68
34,68
34,69
34,70
42,41
43,41
31,27
38,48
39,48
40,47
40,46
41,46
42,46
42,47
43,48
44,48
44,49
44,50
44,51
42,51
41,51
40,51
39,51
38,51
38,50
38,49
54,50
54,49
54,48
54,47
54,46
54,45
54,44
54,43
53,43
52,43
51,43
51,45
56,54
55,54
56,55
56,56
56,57
56,58
56,59
56,60
56,61
56,62
56,63
56,64
56,65
56,66
56,67
54,64
54,63
53,63
52,63
51,63
54,62
54,61
54,60
54,59
54,58
54,57
54,56
54,55
54,54
54,53
51,56
51,58
41,58
42,65
42,67
41,67
44,68
38,68
51,68
52,68
53,68
54,68
55,73
55,72
55,71
55,70
55,69
55,68
55,67
55,66
55,65
57,73
57,72
57,71
57,70
57,69
58,69
59,69
60,69
59,71
60,71
60,72
59,72
59,73
60,73
57,63
58,63
59,63
59,64
58,64
58,66
58,67
59,67
59,66
60,67
60,66
61,67
61,66
61,65
61,64
61,63
61,62
62,62
62,63
62,64
62,65
62,66
63,67
64,67
65,67
66,67
63,68
63,69
63,70
63,71
62,71
62,70
62,69
62,68
65,68
65,69
65,70
65,71
66,71
67,71
68,71
69,71
68,70
68,69
67,69
66,69
68,68
68,67
68,66
68,65
68,64
68,63
68,62
67,65
66,65
65,65
64,65
64,64
64,63
64,62
64,61
64,60
64,59
64,58
63,58
63,57
63,56
63,55
63,54
63,53
64,53
64,54
64,55
64,56
65,56
66,56
62,53
61,53
61,54
61,55
61,56
61,57
60,53
59,53
58,53
58,54
58,55
58,56
58,57
59,57
59,56
59,55
60,51
59,51
58,51
58,50
58,49
58,48
58,47
58,46
58,45
58,44
59,44
60,44
61,44
62,44
63,44
63,45
62,45
63,46
62,46
63,47
62,47
60,47
60,46
60,49
61,49
62,49
62,50
62,51
64,51
64,50
64,49
65,49
66,49
67,49
67,48
67,47
67,46
68,46
69,46
69,47
68,47
68,48
68,49
68,50
68,51
68,52
68,53
68,54
68,55
68,56
66,56
66,55
66,54
66,53
66,52
65,56
64,56
64,55
64,54
64,53
63,53
63,54
57,42
57,41
56,41
58,42
58,41
59,42
59,41
60,42
60,41
61,42
61,41
62,42
62,41
63,42
63,41
65,42
65,41
66,42
66,41
67,42
67,41
68,42
68,41
69,42
69,41
48,68
44,68
51,68
52,68
53,68
54,68
53,40
40,20
40,15
42,20
43,20
44,20
45,20
46,20
47,20
48,20
49,20
50,20
52,20
52,20
52,19
52,19
52,18
52,17
52,16
52,15
52,14
55,20
56,20
55,19
56,19
55,18
56,18
55,17
56,17
55,16
56,16
55,15
56,15
55,14
56,14
55,13
56,13
39,13
38,13
37,13
36,13
32,13
55,22
56,22
55,23
56,23
56,24
55,24
55,25
56,25
56,26
55,26
55,27
56,27
56,28
55,28
55,29
56,29
56,30
55,30
55,31
56,31
56,32
55,32
42,22
43,22
44,22
45,22
48,22
48,22
50,22
50,22
51,22
52,22
52,23
52,24
52,24
52,25
52,26
52,27
52,28
52,29
52,30
52,31
52,32
59,32
60,30
61,30
59,29
61,29
61,27
62,25
60,24
60,18
60,15
62,15
62,16
71,28
70,26
69,24
69,23
73,26
73,24
76,23
80,23
78,25
71,23
63,18
64,15
68,15
70,15
67,17
67,20
71,17
72,18
73,16
75,17
78,17
78,18
78,15
81,15
82,18
84,16
87,15
88,17
87,18
87,23
84,24
87,26
86,28
88,30
86,30
86,31
84,31
84,33
86,34
85,35
87,36
85,37
87,38
81,40
79,37
80,36
76,38
76,37
74,39
70,39
72,37
68,37
60,40
60,39
60,37
62,37
61,34
61,33
56,33
56,34
56,35
56,36
56,37
56,38
56,39
56,40
70,41
70,42
71,42
71,41
72,41
72,42
73,41
73,42
74,41
74,42
75,41
75,42
76,41
76,42
77,41
77,42
78,41
78,42
79,41
79,42
80,41
80,42
81,41
81,42
82,41
82,42
83,41
83,42
84,41
84,42
85,41
85,42
86,41
86,42
87,41
87,42
88,41
88,42
88,43
87,43
87,44
86,44
86,43
85,43
84,43
83,43
82,43
81,43
80,43
79,43
78,43
77,44
78,44
79,44
80,44
75,43
75,44
73,44
72,44
71,44
70,44
69,44
68,44
67,44
66,44
65,44
56,42
56,43
36,7
47,17
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,13
80,13
81,13
82,13
83,13
84,13
85,13
86,13
87,13
86,13
89,13
88,13
69,32
69,29
67,33
70,35
73,32
75,34
68,40
80,34
83,37
89,39
89,40
89,41
90,41
90,42
89,31
89,35
87,33
87,32
69,27
69,28
76,27
75,31
78,27
79,30
77,30
81,28
79,32
81,31
82,26
90,13
91,13
92,13
93,13
94,13
90,14
90,16
93,15
94,16
92,18
93,18
91,22
91,23
89,24
92,26
93,23
93,29
91,28
93,31
94,31
94,33
93,34
93,35
92,35
91,35
91,37
94,38
88,32
88,33
89,33
89,32
90,32
90,33
17,16
95,13
95,14
95,15
95,16
95,17
95,18
95,19
95,20
95,21
95,22
95,23
95,24
95,25
95,26
95,27
95,28
95,29
95,30
95,31
95,32
95,33
95,34
95,36
95,37
95,38
95,39
94,41
94,42
93,42
93,41
92,41
92,42
91,41
91,42
89,42
91,33
92,33
92,32
91,32
95,35
95,40
70,46
70,48
71,47
71,46
72,46
72,47
73,47
73,46
74,47
75,47
75,46
75,45
77,45
77,46
77,47
79,47
79,46
80,46
80,47
81,47
82,47
83,47
84,47
84,46
84,45
83,45
82,45
86,45
87,45
89,43
90,43
91,43
90,44
89,45
90,45
91,45
94,43
94,44
93,44
93,45
93,46
93,47
92,47
91,47
90,47
89,47
87,47
86,47
86,48
87,48
93,47
94,47
95,47
95,48
95,49
95,50
95,51
95,52
95,53
95,54
95,55
95,56
95,57
95,58
95,59
93,58
92,58
91,58
90,58
90,57
91,57
90,56
91,56
92,56
93,56
93,55
93,54
93,53
93,52
93,51
93,50
93,49
91,49
91,50
91,51
91,52
91,53
91,54
90,54
90,55
90,56
90,52
90,51
90,50
90,49
89,49
88,49
87,49
86,49
85,49
84,49
83,49
82,49
81,49
79,49
78,49
77,49
76,49
75,49
74,49
73,49
72,49
71,49
70,49
70,50
70,52
70,53
70,54
70,55
70,56
70,57
70,58
69,58
68,58
74,57
74,56
74,55
74,54
74,53
75,53
76,53
77,53
78,53
82,53
83,53
84,53
85,53
65,45
65,46
65,47
70,47
70,51
66,51
67,51
67,50
65,58
66,58
67,58
79,48
90,53
86,53
86,54
86,55
86,56
86,57
88,58
88,57
88,56
88,55
88,54
88,53
88,52
88,51
87,51
86,51
86,51
85,51
84,51
82,51
79,51
78,51
76,51
75,51
74,51
74,51
72,51
72,51
72,52
72,52
72,53
72,54
72,55
72,56
72,56
72,56
72,57
72,58
73,58
74,61
74,62
74,63
74,64
74,65
75,65
76,65
77,65
78,65
82,65
83,65
84,65
85,65
86,65
86,64
86,62
86,61
80,59
79,59
81,59
80,58
87,60
88,60
87,61
88,60
87,61
88,61
87,61
88,61
87,62
88,62
87,62
88,63
87,63
88,63
87,64
88,64
87,64
88,65
87,65
88,66
88,67
86,66
87,65
86,67
85,66
85,66
85,67
84,66
83,67
83,66
83,67
82,66
82,67
81,66
81,67
78,66
79,67
77,66
77,67
76,66
76,67
75,66
76,67
75,66
74,67
74,66
73,67
72,67
72,66
72,65
73,65
72,64
73,64
72,64
72,63
73,63
73,63
72,63
72,62
73,62
73,61
72,61
72,61
73,61
73,60
72,60
63,73
64,73
65,73
66,73
67,73
68,73
69,73
70,73
71,73
72,73
73,73
74,73
75,73
76,73
77,73
78,73
79,73
80,73
81,73
82,73
83,73
84,73
85,73
86,73
87,73
88,73
89,73
90,73
91,73
90,72
91,72
92,72
93,72
93,71
93,70
93,69
93,68
93,67
93,66
93,65
93,64
93,63
93,62
93,61
93,60
63,75
64,75
65,75
66,75
67,75
68,75
69,75
70,75
71,75
72,75
73,75
74,75
75,75
76,75
77,75
78,75
79,75
80,75
81,75
82,75
83,75
84,75
85,75
86,75
87,75
88,75
89,75
90,75
90,75
91,75
92,75
93,74
93,75
94,74
95,74
95,73
95,72
95,71
95,70
73,51
73,52
73,53
73,54
73,55
73,56
73,57
74,52
75,52
76,52
77,51
77,52
78,52
79,52
81,51
81,52
82,52
83,51
83,52
84,52
85,52
86,52
87,52
87,53
87,54
87,55
87,56
87,57
87,58
66,63
66,62
66,61
66,60
67,60
68,60
69,60
70,60
70,61
70,62
70,63
70,64
70,65
70,66
70,67
70,68
70,69
71,69
72,69
73,69
74,69
75,69
76,69
77,69
78,69
79,69
81,69
82,69
83,69
84,69
85,69
86,69
87,69
88,69
89,69
90,69
91,69
91,68
90,68
90,67
91,67
91,66
90,66
90,65
91,65
91,64
90,64
90,63
91,63
91,62
90,62
90,61
91,61
91,60
90,60
87,66
87,67
84,67
79,66
78,67
75,67
73,66
95,69
95,68
95,67
95,66
95,65
95,64
95,63
95,62
95,61
95,60
86,63
70,71
71,71
72,71
72,71
73,71
74,71
75,71
76,71
77,71
78,71
79,71
80,71
81,71
82,71
83,71
84,71
85,71
86,71
87,71
88,71
89,71
90,71
91,71
92,71
86,63
62,73
61,75
60,74
62,75
61,59
61,60
62,60
61,47
61,46
57,59
58,59
59,59
60,59
60,60
59,61
58,61
58,60
58,74
56,68
54,51
55,51
56,51
56,50
56,49
56,48
56,47
56,46
56,45
56,44
55,51
56,51
51,50
52,60
35,55
24,47
23,54
22,51
16,58
23,63
33,62
33,60
15,48
15,49
15,50
15,51
15,52
15,53
15,54
15,55
15,56
15,57
15,58
15,59
15,60
15,61
15,62
15,63
15,62
15,64
15,65
15,66
15,67
15,68
17,68
18,68
18,68
19,68
21,68
22,68
23,68
27,68
29,68
30,68
33,68
27,49
43,51
28,68
16,65
17,65
26,68
25,68
24,68
53,41
54,41
55,41
55,40
55,39
55,38
55,37
55,36
55,35
55,34
55,33
52,33
52,34
52,35
52,36
52,37
52,38
52,39
52,40
46,22
47,22
49,22
51,20
54,13
53,13
21,13
